,Title,Year,Rated,Genre,Director,Plot,Language,Country,Awards,Ratings,imdbRating,imdbVotes
849,What the Jatt!!,2015,Not Rated,Comedy,Saket S. Behl,"What the Jatt, is a nerve tickling adventurous comedy film about a young aspiring actor Raj and his best friend Fateh, who hail from a village in Punjab. During their efforts to achieve their dreams they find themselves in hilario...",Punjabi,India,N/A,Internet Movie Database:5.2/10,5.2,41
850,Big Miracle,2012,PG,"Biography, Drama, Family",Ken Kwapis,"In small-town Alaska, a news reporter recruits his Greenpeace-volunteer ex-girlfriend on a campaign to save a family of gray whales trapped by rapidly-forming ice in the Arctic Circle.",English,"United States, United Kingdom",1 nomination,"Internet Movie Database:6.5/10, Rotten Tomatoes:75%, Metacritic:61/100",6.5,"20,187"
851,ReBoot: The Guardian Code,2018,TV-Y7-FV,"Action, Comedy, Drama",N/A,Four teenagers are recruited by an AI to help protect both cyberspace and the real world.,English,Canada,6 nominations,Internet Movie Database:3.8/10,3.8,"1,259"
852,Skylanders Academy,2016–2018,TV-Y7,"Animation, Action, Adventure",N/A,"""Skylanders Academy"" follows the heroic adventures of Spyro, Eruptor, Stealth Elf, Jet-Vac and Pop Fizz as they travel the vast Skylands universe, protecting it from evil-doers.","English, Spanish, German, French, Mandarin, Korean","South Korea, United States",3 nominations,Internet Movie Database:6.7/10,6.7,881
853,Transformers: Rescue Bots,2011–2016,TV-Y7,"Animation, Short, Action",N/A,The Rescue Bots are Transformers that work with a family of heroes to rescue humans from disasters. These non-violent Transformer stories were aimed at pre-school viewers.,English,"Canada, United States",2 wins & 8 nominations,Internet Movie Database:6.6/10,6.6,"1,026"
854,Transformers Prime,2010–2013,TV-Y7,"Animation, Action, Adventure",N/A,In this new set of adventures the Autobots live on Earth and maintain their secret identity. They are joined by 3 teens as they battle the Decepticons.,English,United States,14 wins & 26 nominations,Internet Movie Database:8.0/10,8.0,"7,521"
855,Transformers: Robots in Disguise,2014–2020,TV-Y7,"Animation, Action, Adventure",N/A,"When a new army of Decepticons appear, Bumblebee must lead a new team of Autobots to Earth against their eternal foes.",English,United States,2 wins & 11 nominations,Internet Movie Database:6.0/10,6.0,"1,190"
856,Next Gen,2018,TV-PG,"Animation, Action, Adventure","Kevin R. Adams, Joe Ksander","A friendship with a top-secret robot turns a lonely girl's life into a thrilling adventure as they take on bullies, evil bots and a scheming madman.","English, Mandarin","China, Canada, United States",1 win & 5 nominations,"Internet Movie Database:6.6/10, Rotten Tomatoes:86%",6.6,"18,583"
857,Stretch Armstrong & the Flex Fighters,2017–2018,TV-Y7-FV,"Animation, Short, Action",N/A,"An action-comedy series based on Hasbro's stretchy, heroic toy.",English,United States,N/A,Internet Movie Database:6.3/10,6.3,334
858,Once Again,2018,N/A,"Drama, Romance",Kanwal Sethi,"After a chance phone call leads to daily conversations, a widowed restaurant owner and a lonely film actor plan to finally meet in person.",Hindi,"India, Germany, Austria",3 wins & 1 nomination,Internet Movie Database:6.9/10,6.9,"1,100"
859,Ultimate Beastmaster,2017–2018,TV-Y7,"Game-Show, Reality-TV",N/A,"Eighteen competitors from six countries compete against each other in an intense obstacle course for cash prizes, individual glory and national pride.","English, Spanish, Korean, Japanese, German, Portuguese","United States, Brazil, South Korea, Mexico, Japan, Germany",N/A,Internet Movie Database:7.2/10,7.2,"2,644"
860,Stay Here,2018,TV-PG,Reality-TV,N/A,Designer Genevieve Gorder and real estate expert Peter Lorimer show property owners how to turn their short-term rentals into moneymaking showstoppers.,English,United States,N/A,Internet Movie Database:7.5/10,7.5,"1,160"
861,All About the Washingtons,2018,TV-PG,"Comedy, Music",N/A,"The wife of a legendary rapper launches her own career, which puts his life into a tailspin.",English,United States,N/A,Internet Movie Database:4.8/10,4.8,758
862,The Guernsey Literary and Potato Peel Pie Society,2018,TV-14,"Drama, Romance, War",Mike Newell,"In the aftermath of World War II, a writer forms an unexpected bond with the residents of Guernsey Island when she decides to write a book about their experiences during the war.","English, German, French","United Kingdom, France, United States",N/A,"Internet Movie Database:7.3/10, Rotten Tomatoes:81%, Metacritic:65/100",7.3,"49,697"
863,Zion,2018,TV-PG,"Documentary, Short, Biography",Floyd Russ,"A portrait of Zion Clark, a young wrestler who was born without legs and grew up in foster care.",English,United States,10 wins & 2 nominations,Internet Movie Database:7.1/10,7.1,"1,336"
864,2 States,2014,Not Rated,"Comedy, Drama, Romance",Abhishek Varman,This movie chronicles how Chetan met his wife and the difficulties they faced due to their cultural differences.,Hindi,India,11 wins & 42 nominations,"Internet Movie Database:6.9/10, Rotten Tomatoes:40%",6.9,"26,572"
865,Dinotrux Supercharged,2017–2018,TV-Y7,"Animation, Short, Action",N/A,In this new season of dinotrux Ty and the others meet new friends as well as face new challenges both normal and supercharged.,English,"United States, Canada",3 nominations,Internet Movie Database:7.6/10,7.6,111
866,Joker,2019,R,"Crime, Drama, Thriller",Todd Phillips,"The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution.",English,"United States, Canada",Won 2 Oscars. 122 wins & 239 nominations total,"Internet Movie Database:8.4/10, Rotten Tomatoes:69%, Metacritic:59/100",8.4,"1,363,539"
867,The Blue Umbrella,2013,G,"Animation, Short, Drama",Saschka Unseld,"Amidst the rain in a singing city, two umbrellas - one blue, one not - fall eternally in love.",English,United States,1 nomination,Internet Movie Database:7.5/10,7.5,"10,785"
868,Da Kath & Kim Code,2005,TV-14,Comedy,Ted Emery,Film adaptation of the Australian comedy series Kath and Kim.,English,Australia,2 nominations,Internet Movie Database:7.3/10,7.3,"1,024"
869,Parmanu: The Story of Pokhran,2018,Not Rated,"Action, Drama, History",Abhishek Sharma,"Ashwat Raina and his teammates arrive in Pokhran to re-conduct a confidential nuclear test, where they face challenges from the American Lacrosse satellite and local spies.",Hindi,India,N/A,"Internet Movie Database:7.6/10, Rotten Tomatoes:33%",7.6,"24,844"
870,Duck Duck Goose,2018,PG,"Animation, Adventure, Comedy",Christopher Jenkins,A bachelor goose must form a bond with two lost ducklings as they journey south.,"English, Mandarin","China, United States, United Kingdom",1 win,Internet Movie Database:5.8/10,5.8,"3,896"
871,Home: Adventures with Tip & Oh,2016–2018,TV-Y7,"Animation, Short, Adventure",N/A,"Picking up where the 2015 film left off, this coming-of-age buddy comedy follows fearless Tip and overenthusiastic Oh, as they navigate the crazily combined human and alien culture they live in, finding adventure everywhere they go.",English,United States,1 nomination,Internet Movie Database:6.1/10,6.1,644
872,Luna Petunia: Return to Amazia,2018,TV-Y,Animation,N/A,Luna goes back to Amazia to see her friends again after She's been gone too long.,English,"Canada, United States",2 nominations,Internet Movie Database:5.1/10,5.1,48
873,Nothing to Lose,1997,R,"Action, Adventure, Comedy",Steve Oedekerk,"Nick's wife's in bed with his boss. He later gets a gun to his head by a carjacker but steps on the gas pedal. They end up friends after adventures together - holdups, burglary, reckless driving, revenge etc. Twists follow.",English,United States,1 win,"Internet Movie Database:6.7/10, Rotten Tomatoes:31%",6.7,"48,155"
874,Going for Gold,2018,Unrated,"Drama, Family, Sport",Clay Glen,17-year-old Emma joins a high-school cheerleading team when she moves to Australia with her dad who is a former Air Force Officer.,English,Australia,N/A,Internet Movie Database:4.8/10,4.8,617
875,White Fang,1991,PG,"Adventure, Drama",Randal Kleiser,Jack London's classic adventure story about the friendship developed between a Yukon gold hunter and the mixed dog-wolf he rescues from the hands of a man who mistreats him.,English,United States,1 win,"Internet Movie Database:6.7/10, Rotten Tomatoes:67%, Metacritic:62/100",6.7,"21,697"
876,I Am Kalam,2010,Not Rated,"Comedy, Drama, Family",Nila Madhab Panda,An impoverished boy forms an unlikely and unstable friendship with the lonely son of a nobleman.,Hindi,India,5 wins,"Internet Movie Database:7.9/10, Rotten Tomatoes:80%",7.9,"4,436"
877,Hotel Transylvania,2012,PG,"Animation, Adventure, Comedy",Genndy Tartakovsky,"Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter.",English,"United States, Canada",2 wins & 15 nominations,"Internet Movie Database:7.0/10, Rotten Tomatoes:44%, Metacritic:47/100",7.0,"267,338"
878,Dinosaur King,2007–2009,TV-Y7-FV,"Animation, Action, Adventure",N/A,"Max Taylor is the son of paleontologist Dr. Spike Taylor and is a fan of dinosaurs. Upon falling out of bed one morning, he sees something crashing into the woods. With his friends/fellow D-Team members Rex Owen and Zoe Drake, the...","Japanese, English",Japan,N/A,Internet Movie Database:5.8/10,5.8,824
879,Trollhunters: Tales of Arcadia,2016–2018,TV-Y7,"Animation, Action, Adventure",N/A,"An ordinary boy finds a magic amulet that chooses him to be a Trollhunter, a guardian that defends the world of humans and the secret world of trolls.",English,"United States, Mexico",18 wins & 26 nominations,Internet Movie Database:8.4/10,8.4,"18,013"
880,Whitney Houston: I Wanna Dance with Somebody,2022,PG-13,"Biography, Drama, Music",Kasi Lemmons,"A joyous, emotional, heartbreaking celebration of the life and music of Whitney Houston, one of the greatest female R&amp;B pop vocalists of all time, tracking her journey from obscurity to musical super stardom.",English,United States,1 win & 7 nominations,"Internet Movie Database:6.6/10, Rotten Tomatoes:43%, Metacritic:51/100",6.6,"18,073"
881,Inspector Gadget,1999,PG,"Action, Adventure, Comedy",David Kellogg,A security guard's dreams come true when he is selected to be transformed into a cybernetic police officer.,"English, Norwegian, French, Spanish",United States,1 win & 13 nominations,"Internet Movie Database:4.2/10, Rotten Tomatoes:20%, Metacritic:36/100",4.2,"49,669"
882,The Who Was? Show,2018,TV-PG,"Short, Adventure, Comedy",N/A,Fresh voices bring some of the most famous names in history to life. A live-action sketch comedy show based on the series of best-selling books.,N/A,United States,1 win & 5 nominations,Internet Movie Database:6.6/10,6.6,649
883,Pup Star: World Tour,2018,G,"Comedy, Family, Musical",Robert Vince,"PUP STAR is back, with an all-new movie that takes the popular singing dogs on trip around the world, where Tiny and friends find fantastic new songs and meet exciting new canine singers that prove music really is the universal la...",English,"Canada, Japan, United States",N/A,Internet Movie Database:3.9/10,3.9,221
884,A Little Help with Carol Burnett,2018,TV-G,Talk-Show,N/A,"With some help from Carol Burnett, kids dish out advice to celebrities and everyday people alike in front of a live audience.",English,United States,5 nominations,Internet Movie Database:6.3/10,6.3,252
885,Kong: King of the Apes,2016–2018,TV-Y7,"Animation, Action, Adventure",N/A,"Kong is saved as a young ape by a young boy, Lucas. Lucas and his family raise kong but Lucas' twin brother is jealous and tries to get rid of Kong.","English, Spanish, French, German, Mandarin","United States, Japan, Canada",3 nominations,Internet Movie Database:5.8/10,5.8,352
886,My Perfect Romance,2018,PG,Romance,Justin G. Dyck,"Robinson Tech is launching a new dating service, but when its CEO, Wes Robinson and tech developer, Vivian Blair are challenged on Live TV to test the service themselves, the algorithm shows some interesting results.",English,Canada,N/A,Internet Movie Database:4.7/10,4.7,"3,141"
887,Pocoyo,2005–,TV-Y,"Animation, Comedy, Family",N/A,"Pocoyo, the curious toddler dressed all in blue, joins Pato the yellow duck, Elly the pink elephant, Loula the dog, Sleepy Bird and many others in learning new things and having fun.","Spanish, English","Spain, United Kingdom",Won 1 BAFTA Award5 wins & 1 nomination total,Internet Movie Database:7.2/10,7.2,"1,879"
888,Pocoyo,2005–,TV-Y,"Animation, Comedy, Family",N/A,"Pocoyo, the curious toddler dressed all in blue, joins Pato the yellow duck, Elly the pink elephant, Loula the dog, Sleepy Bird and many others in learning new things and having fun.","Spanish, English","Spain, United Kingdom",Won 1 BAFTA Award5 wins & 1 nomination total,Internet Movie Database:7.2/10,7.2,"1,879"
889,Pocoyo Halloween: Space Halloween,2015,N/A,"Animation, Short",Alfonso Rodriguez,"Pocoyo and his friends have a costume contest to celebrate Halloween and learn new things about planets and stars in space. Episodes include ""Lost in Space"", ""Scary Noises"", ""Angry Alien"", and ""Space Mission"".",English,United States,N/A,,N/A,8
890,Simon,2004,TV-MA,"Comedy, Drama",Eddy Terstall,A mild-mannered gay dentist and a hedonist womanizer rekindle their unlikely friendship when the latter's terminal cancer drives them back together after a decade apart.,"Dutch, English, German, Thai",Netherlands,8 wins & 4 nominations,"Internet Movie Database:7.8/10, Rotten Tomatoes:67%, Metacritic:59/100",7.8,"8,171"
891,Moving On,2022,R,Comedy,Paul Weitz,Two old friends reconnect at a funeral and decide to get revenge on the widower who messed with them decades before.,English,United States,N/A,"Internet Movie Database:5.8/10, Rotten Tomatoes:74%, Metacritic:60/100",5.8,"1,127"
892,Bill Nye: Science Guy,2017,Not Rated,Documentary,"David Alvarado, Jason Sussberg",A famous television personality struggles to restore science to its rightful place in a world hostile to evidence and reason.,English,United States,1 nomination,"Internet Movie Database:6.8/10, Rotten Tomatoes:100%, Metacritic:73/100",6.8,"1,286"
893,Kevin James: Never Don't Give Up,2018,TV-PG,Comedy,Andy Fickman,"Kevin James is back with a new stand-up special dishing on parenting, allergies, his fans, and more.",English,United States,N/A,Internet Movie Database:6.2/10,6.2,"1,541"
894,The Magic School Bus Rides Again,2017–2021,TV-Y,"Animation, Adventure, Family",N/A,Ms. Frizzle and her class along with an inventive high-tech bus that invites children on high-flying hijinks that introduce the incredible world of science.,English,"United States, Canada",1 win & 3 nominations,Internet Movie Database:6.4/10,6.4,882
895,Wakfu,2008–2017,TV-Y7-FV,"Animation, Action, Adventure",N/A,Saving the world from an evil madman? Not a problem for this kid. Finding his birth parents? That's the real adventure!,"English, French",France,N/A,Internet Movie Database:8.2/10,8.2,"1,731"
896,Star Trek: The Next Generation,1987–1994,TV-PG,"Action, Adventure, Sci-Fi",N/A,"Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers sets off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before.","English, Klingon, French",United States,Won 18 Primetime Emmys. 37 wins & 61 nominations total,Internet Movie Database:8.7/10,8.7,"128,651"
897,Billu,2009,Not Rated,"Comedy, Drama",Priyadarshan,"In an Indian village, a struggling barber sees his luck begin to turn when residents learn that a famous actor he once knew is coming to town.","Hindi, Awadhi",India,3 nominations,"Internet Movie Database:6.3/10, Rotten Tomatoes:60%",6.3,"12,646"
898,Paheli,2005,Not Rated,"Comedy, Drama, Fantasy",Amol Palekar,A folk tale - supernatural love story about a ghost who falls in love with a newlywed woman.,Hindi,India,4 wins & 14 nominations,"Internet Movie Database:6.4/10, Rotten Tomatoes:57%",6.4,"13,744"
899,Benji,2018,TV-PG,"Crime, Drama, Family",Brandon Camp,"Two school kids strike up a friendship with an orphaned puppy named Benji. When danger befalls them and they end up kidnapped by robbers who are in over their heads, Benji and his scruffy sidekick come to the rescue.",English,"United Arab Emirates, United States",N/A,"Internet Movie Database:6.3/10, Rotten Tomatoes:60%, Metacritic:53/100",6.3,"5,193"
900,Expedition China,2017,G,Documentary,Ben Wallis,Disneynature and the filmmakers of Born in China (2016) bring you on location to some of the world's most remote wildlands within the Chinese frontier.,English,"United Kingdom, United States",N/A,Internet Movie Database:6.6/10,6.6,193
901,Guru,2007,Not Rated,Drama,Mani Ratnam,"A villager, Gurukant Desai, arrives in Bombay 1958, and rises from its streets to become the GURU, the biggest tycoon in Indian history.",Hindi,India,18 wins & 39 nominations,"Internet Movie Database:7.7/10, Rotten Tomatoes:83%, Metacritic:70/100",7.7,"24,465"
902,Shubh Aarambh,2017,N/A,"Comedy, Drama, Family",Amit Barot,"In the midst of her wedding, a young girl tries to save a 28 year old love marriage, of her future in-laws, which is falling apart.",Gujarati,India,N/A,Internet Movie Database:6.7/10,6.7,131
903,Swades,2004,Not Rated,"Drama, Musical",Ashutosh Gowariker,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,"Hindi, English",India,20 wins & 27 nominations,"Internet Movie Database:8.2/10, Rotten Tomatoes:86%",8.2,"94,085"
904,Fullmetal Alchemist,2003–2004,TV-PG,"Animation, Action, Adventure",N/A,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's stone.",Japanese,"Japan, Poland",3 wins,Internet Movie Database:8.5/10,8.5,"73,834"
905,Dragons: Race to the Edge,2015–2018,TV-Y7-FV,"Animation, Action, Adventure",N/A,"Unlock the secrets of the Dragon Eye and come face to face with more dragons than anyone has ever imagined as Hiccup, Toothless and the Dragon Riders soar to the edge of adventure.",English,United States,2 wins & 9 nominations,Internet Movie Database:8.2/10,8.2,"7,352"
906,Fred Armisen: Standup For Drummers,2018,N/A,Comedy,Lance Bangs,"Comedian and drummer Fred Armisen performs stand-up material, music, and sketches for an audience of fellow drummers.","English, Spanish",N/A,N/A,"Internet Movie Database:5.8/10, Rotten Tomatoes:67%",5.8,"1,371"
907,Expedition Happiness,2017,N/A,Documentary,Felix Starck,"Two free spirits, one dog. Traveling the vast spaces of an enormous continent in search of something more.","English, German",Germany,N/A,Internet Movie Database:5.9/10,5.9,"4,696"
908,The Adventures of Puss in Boots,2015–2018,TV-Y7,"Animation, Action, Adventure",N/A,"The famous cat protects the city of San Lorenzo, a mythical land invisible to the outside world.",English,United States,1 win & 12 nominations,Internet Movie Database:6.5/10,6.5,"2,244"
909,Rip Tide,2017,Unrated,"Drama, Family",Rhiannon Bannenberg,"Following an embarrassing viral video, a New York model decides to escape from her suffocating existence by visiting her faraway aunt in Australia.",English,"Australia, United Arab Emirates",1 nomination,Internet Movie Database:5.5/10,5.5,"3,764"
910,Myths,2009,N/A,Drama,N/A,N/A,English,United Kingdom,N/A,Internet Movie Database:7.7/10,7.7,18
911,48 Christmas Wishes,2017,TV-G,"Animation, Adventure, Comedy","Marco Deufemia, Justin G. Dyck","For the first time ever, two junior Elves have to leave home after losing an entire town's letters to Santa. While attempting to blend into small town life, they set out to retrieve every missing wish before Christmas Eve.",N/A,Canada,N/A,Internet Movie Database:3.9/10,3.9,"1,213"
912,Christmas Inheritance,2017,N/A,"Comedy, Drama, Romance",Ernie Barbarash,"To be the CEO, an heiress is challenged by her dad to deliver a Christmas letter in person to his ex-partner in their hometown - traveling by bus, incognito and with only $100. Will she learn something from the people there?",English,"United States, Canada, Germany",N/A,"Internet Movie Database:5.7/10, Rotten Tomatoes:43%",5.7,"12,627"
913,A StoryBots Christmas,2017,TV-Y,"Short, Adventure, Comedy","Jeff Gill, Evan Spiridellis","When Bo mistakenly thinks that her friends don't like her gifts, she heads to the North Pole to ask Santa for help making better presents. She learns along the way that Christmas is about far more than just the toys.",English,United States,2 wins & 4 nominations,Internet Movie Database:6.1/10,6.1,171
914,All Hail King Julien,2014–2017,TV-Y7,"Animation, Short, Action",N/A,Animated misadventures of a hard-partying lemur and his wild friends in Madagascar.,English,United States,5 wins & 20 nominations,Internet Movie Database:7.1/10,7.1,"2,251"
915,Kantaro: The Sweet Tooth Salaryman,2017–,N/A,"Adventure, Comedy, Drama",N/A,A stoic book salesman leads a double life as he plays hooky from work to write his sweets blog. In his journey to attain a glimpse of sweets heaven Kantaro samples various Japanese and Western sweets.,Japanese,Japan,N/A,Internet Movie Database:7.5/10,7.5,884
916,Monster Island,2004,PG,"Adventure, Comedy, Horror",Jack Perez,Six friends win a vacation to the Bermuda Triangle and become trapped with only an MTV Crew to help keep them alive. They have to rescue Carmen Electra escape while they all battle the monsters on Monster Island.,English,Canada,N/A,Internet Movie Database:3.6/10,3.6,"1,350"
917,Oggy and the Cockroaches,1997–2018,TV-Y7,"Animation, Adventure, Comedy",N/A,Oggy would be the happiest of cats if three cockroaches hadn't decided to settle inside his comfortable home.,"French, English","France, Canada, United States",N/A,Internet Movie Database:7.5/10,7.5,"4,711"
918,Brian Regan: Nunchucks and Flamethrowers,2017,N/A,"Documentary, Comedy",Troy Miller,"Brian Regan takes relatable family humor to new heights as he talks board games, underwear elastic and looking for hot dogs in all the wrong places.",English,United States,N/A,Internet Movie Database:6.3/10,6.3,701
919,Saving Capitalism,2017,TV-PG,Documentary,"Jacob Kornbluth, Sari Gilman","SAVING CAPITALISM is a documentary film that follows former Secretary of Labor and Professor, Robert Reich, as he takes his book and his views to the heart of conservative America to speak about our economic system and present big...",English,United States,1 nomination,"Internet Movie Database:6.8/10, Rotten Tomatoes:100%",6.8,"3,350"
920,A Christmas Prince,2017,TV-PG,"Comedy, Family, Romance",Alex Zamm,"When a reporter goes undercover as a tutor to get the inside scoop on a playboy prince, she gets tangled in some royal intrigue and ends up finding love - but will she be able to keep up her lie?",English,United States,N/A,"Internet Movie Database:5.8/10, Rotten Tomatoes:73%",5.8,"20,766"
921,Luna Petunia,2016–2017,TV-Y,"Animation, Family, Fantasy",N/A,"Luna Petunia is a new animated Netflix original series for preschool kids developed by Saban Brands and Cirque du Soleil Média. Inspired by the Cirque du Soleil brand of creativity and entertainment, the series chronicles the adve...",English,United States,1 win & 1 nomination,Internet Movie Database:6.4/10,6.4,56
922,Project Mc²,2015–2017,TV-Y7,Family,N/A,"McKeyla, Adrienne, Bryden, and Camryn are four super-smart and science-skilled girls recruited to join the spy organization NOV8.",English,United States,1 win & 15 nominations,Internet Movie Database:6.1/10,6.1,"1,175"
923,Bandie,1978,N/A,"Action, Drama, Romance",Alo Sarkar,"Heirless Maharaj Brajbhan leaves his throne to his cousin Vikram, but when Brajbhan's wife, Badi Rani, finally conceives, Vikram plots to destroy her.",Hindi,India,N/A,Internet Movie Database:4.6/10,4.6,37
924,Hajwala: The Missing Engine,2016,PG-13,"Action, Adventure, Crime","Ali Bin Matar, Ibrahim Bin Mohamed, Hasan Aljaberi","Khalid and Kehailan are two team leaders who are passionate about car racing and challenges. They enter into a crazy competition to win the challenge involving a lot of surprises, which unexpectedly change both their lives.",Arabic,United Arab Emirates,N/A,Internet Movie Database:2.0/10,2.0,275
925,Pup Star: Better 2Gether,2017,PG,Family,Robert Vince,"The action-packed new season of the franchise continues with the story of Tiny, an adorable Yorkie pup who, after winning the 'Pup Star' TV singing competition, is suddenly launched into an adventure when she's replaced by a stree...",English,Canada,N/A,Internet Movie Database:4.3/10,4.3,253
926,Haters Back Off!,2016–2017,TV-14,"Comedy, Drama, Family",N/A,"The oddball family life of Miranda Sings, an incredibly confident, totally untalented star on the rise who continues to fail upward by the power of her belief that she was born famous--but nobody knows yet.",English,United States,3 wins & 1 nomination,Internet Movie Database:6.0/10,6.0,"7,630"
927,Hum Aapke Hain in Laws,2013,N/A,Comedy,N/A,"The story revolves around Damini Grover and Gulshan Grover living in a semi posh row houses society but in this society their neighbours are not just neighbours, they are their in-laws.",Hindi,India,N/A,,N/A,6
928,Singapore,1947,Passed,"Action, Adventure, Crime",John Brahm,"After WW2, an American skipper returns to Singapore to retrieve his hidden stash of pearls and finds his lost fiancée who now has amnesia.","Chinese, English",United States,N/A,Internet Movie Database:6.5/10,6.5,698
929,West Coast Customs,2013–,TV-14,Reality-TV,N/A,"Chronicling the a car-customizing shop in Corona, Cal., and their clients' project vehicles.",English,United States,N/A,Internet Movie Database:5.9/10,5.9,583
930,ID-0,2017,TV-14,"Animation, Action, Adventure",N/A,"In the midst of a field exercise operating I-Machines, Alliance Academy student Maya Mikuri is thrown into an entirely different kind of adventure.",Japanese,Japan,N/A,Internet Movie Database:6.1/10,6.1,340
931,Kibaoh Klashers,2017,TV-Y7,Adventure,N/A,Dylan and his pals Hailey and Ollie work together to compete in Battle Blading.,English,China,N/A,Internet Movie Database:6.3/10,6.3,20
932,Beyblade Burst,2016–,TV-Y7,"Animation, Action, Adventure",N/A,"Valt Aoi is a hot-blooded kid who loves to attack and wields a Beyblade named Valkyrie. His close friend Shu Kurenai is an elite Blader who is a genius but still puts in a lot of effort, and wields the Beyblade named Spriggan.",Japanese,"Japan, South Korea, Spain",N/A,Internet Movie Database:6.8/10,6.8,699
933,Equestria Girls: Tales of Canterlot High,2017,N/A,"Animation, Family",N/A,The girls of Canterlot Highschool use their power of friendship and the magic the got from Equestria to solve crimes and everyday problems.,English,"Canada, United States",N/A,Internet Movie Database:9.3/10,9.3,30
934,Ghost Patrol,2016,N/A,"Animation, Adventure",Karen J. Lloyd,"Gabi and Spence, and the Spooky Dog, are the ""Ghost Patrol"", Their Towns supernatural pest control, but they have never seen a real ghost. When they get a call to investigate the old Geist Manor, they are about to find the proof t...",English,Canada,1 nomination,Internet Movie Database:5.1/10,5.1,242
935,Star Trek: Voyager,1995–2001,TV-PG,"Action, Adventure, Sci-Fi",N/A,"Pulled to the far side of the galaxy, where the Federation is seventy-five years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home.",English,United States,Won 7 Primetime Emmys. 33 wins & 84 nominations total,Internet Movie Database:7.8/10,7.8,"73,417"
936,Satu Hari Nanti,2017,N/A,"Drama, Romance",Salman Aristo,Two lovebirds who live abroad in Swiss find themselves in awkward situation when another couple arrived and enter their life that cause sparks between each other of them.,"Indonesian, English, German",Indonesia,N/A,Internet Movie Database:6.4/10,6.4,62
937,Barbie: Dolphin Magic,2017,TV-G,"Animation, Adventure, Family, Fantasy",Conrad Helten,"As Barbie and her sisters enjoy their vacation at a sun-kissed island resort, a rare Gemstone dolphin goes missing. Will she and her mysterious new friend, Isla, find it? And, above all, will Isla share her well-hidden secret with Barbie?",English,"USA, Canada",N/A,Internet Movie Database:5.7/10,5.7,587
938,VeggieTales in the City,2017,TV-Y,"Animation, Short, Adventure",N/A,"Larry, Bob and all their Veggie friends share their city adventures.",English,United States,1 nomination,Internet Movie Database:4.6/10,4.6,129
939,Ghost of the Mountains,2017,G,Documentary,Ben Wallis,"Disneynature's international team of filmmakers travel to the mountains of China to find and film the elusive snow leopard on the highest plateau on Earth, while enduring brutal weather and unsettled terrain.",English,United States,N/A,Internet Movie Database:7.0/10,7.0,336
940,No Tomorrow,2016–2017,TV-PG,"Comedy, Drama, Romance",N/A,"Evie, a risk-averse quality-control assessor falls for free-spirited thrill seeker Xavier only to find out he lives his life that way because he believes the apocalypse is coming.",English,United States,2 nominations,Internet Movie Database:7.2/10,7.2,"5,268"
941,Chadi Jawani Budhe Nu,1976,N/A,Romance,A. Salaam,N/A,Punjabi,India,N/A,Internet Movie Database:4.3/10,4.3,18
942,Final Fantasy XIV: Dad of Light,2017,TV-PG,Drama,N/A,A son tries to reconnect with his father by secretly interacting with him in the fantasy MMORPG (Massively Multiplayer Online Role Playing Game) 'Final Fantasy XIV.',Japanese,Japan,N/A,Internet Movie Database:7.2/10,7.2,640
943,Lego Elves: Secrets of Elvendale,2017,TV-Y7,"Animation, Adventure, Family",N/A,"When the Goblin King kidnaps her sister, Emily Jones and her Elf friends head deep into a magical forest to save her. Based on the popular web series.",English,United States,1 nomination,Internet Movie Database:6.6/10,6.6,197
944,The Guardian Brothers,2015,TV-Y7,"Animation, Comedy, Family","Gary Wang, Paulette Victor-Lifton","There's a crisis in the Chinese Spirit World -- humans don't believe in gods anymore! A Door God, facing unemployment, ventures into the human world to prove his worth, leading to unexpected encounters and transformations for huma...",Chinese,China,1 win & 1 nomination,Internet Movie Database:5.5/10,5.5,"2,235"
945,Dinotrux,2015–2017,TV-Y7-FV,"Animation, Short, Action",N/A,"Animals like the Craneosauraus, Garbageadon and Tyrannosaurus Trux (part dinosaurs and part truck) exist in a fictional prehistoric era.","English, French","United States, Canada",4 wins & 5 nominations,Internet Movie Database:6.8/10,6.8,512
946,Lego Marvel Super Heroes: Avengers Reassembled,2015,Not Rated,"Animation, Short, Action",Rob Silvestri,"The Avengers are forced to ""party"" with Ultron when he seeks to disassemble the team by taking control of Iron Man's armor and enact a nefarious scheme to take over the world.",English,United States,N/A,Internet Movie Database:6.1/10,6.1,972
947,Jessica Darling's It List,2016,Not Rated,Family,Ali Scher,"Jessica Darling's older sister gives her the ""IT List,"" a checklist on how to navigate the middle school popularity hierarchy. The instructions appear simple enough to follow, but like life, nothing is as easy as it seems.",English,United States,N/A,Internet Movie Database:5.4/10,5.4,"1,076"
