,Title,Year,Rated,Genre,Director,Plot,Language,Country,Awards,Ratings,imdbRating,imdbVotes
1191,Gemini,2017,R,"Crime, Drama, Mystery",Aaron Katz,"A heinous crime tests the complex relationship between a tenacious personal assistant and her Hollywood starlet boss. As the assistant unravels the mystery, she must confront her own understanding of friendship, truth and celebrity.",English,United States,1 win & 5 nominations,"Internet Movie Database:5.4/10, Rotten Tomatoes:71%, Metacritic:71/100",5.4,"5,434"
1192,Genius of the Ancient World,2015,Not Rated,"Documentary, History",N/A,"Bettany Hughes travels to India, Greece and China, profiling Buddha, Socrates and Confucius, the three greatest thinkers of antiquity.",English,United Kingdom,N/A,Internet Movie Database:7.3/10,7.3,665
1193,Genius of the Modern World,2016,Not Rated,"Documentary, Biography, History",N/A,"Historian Bettany Hughes retraces the lives of three great thinkers whose ideas shaped the modern world: Karl Marx, Frederick Nietzsche and Sigmund Freud.",English,United Kingdom,N/A,Internet Movie Database:7.6/10,7.6,"1,079"
1194,George of the Jungle 2,2003,PG,"Adventure, Comedy, Family",David Grossman,"George, now a father, goes to Las Vegas, where he has to help out his brother.",English,"USA, Australia",N/A,"Internet Movie Database:3.4/10, Rotten Tomatoes:17%",3.4,"6,618"
1195,Geronimo Stilton,2009–2017,TV-Y7,"Animation, Adventure, Comedy",N/A,Geronimo Stilton is a mouse who goes on lots of wacky adventures.,"Italian, English, French","Italy, Canada, France",N/A,Internet Movie Database:6.7/10,6.7,370
1196,Get Santa,2014,PG,"Comedy, Family",Christopher Smith,"After Santa Claus is arrested and jailed, a recently paroled prisoner and his young son attempt to save Christmas before it's too late.",English,"United Kingdom, United States",1 nomination,"Internet Movie Database:6.3/10, Rotten Tomatoes:79%, Metacritic:52/100",6.3,"4,303"
1197,Gigi,1958,G,"Comedy, Musical, Romance","Vincente Minnelli, Charles Walters","Weary of the conventions of Parisian society, a rich playboy and a youthful courtesan-in-training enjoy a platonic friendship which may not stay platonic for long.","English, French",United States,Won 9 Oscars. 21 wins & 9 nominations total,"Internet Movie Database:6.6/10, Rotten Tomatoes:88%, Metacritic:82/100",6.6,"23,806"
1198,God Bless the Broken Road,2018,PG,"Drama, Family, Romance",Harold Cronk,"While grieving the loss of her husband, a financially struggling widow meets a race car driver.",English,United States,N/A,"Internet Movie Database:5.7/10, Rotten Tomatoes:17%, Metacritic:31/100",5.7,"1,177"
1199,God Knows Where I Am,2016,Not Rated,"Documentary, Biography, Drama","Jedd Wider, Todd Wider","Through diary entries, this documentary follows the life and death of homeless woman Linda Bishop and her struggles with starvation, sanity and God.",English,United States,14 wins & 6 nominations,"Internet Movie Database:7.3/10, Rotten Tomatoes:85%, Metacritic:66/100",7.3,889
1200,God's Not Dead,2014,PG,"Adventure, Comedy, Drama",Harold Cronk,"College philosophy professor Mr. Radisson's curriculum is challenged by his new student, Josh, who believes God exists.",English,United States,1 win,"Internet Movie Database:4.6/10, Rotten Tomatoes:12%, Metacritic:16/100",4.6,"43,991"
1201,God's Not Dead: A Light in Darkness,2018,PG,Drama,Michael Mason,"Pastor Dave responds to the unimaginable tragedy of having his church, located on the grounds of the local university, burned down.",English,United States,3 nominations,"Internet Movie Database:4.4/10, Rotten Tomatoes:10%, Metacritic:33/100",4.4,"4,269"
1202,Gol Maal,1979,Not Rated,"Comedy, Romance",Hrishikesh Mukherjee,A man's simple lie to secure his job escalates into more complex lies when his orthodox boss gets suspicious.,Hindi,India,3 wins & 1 nomination,Internet Movie Database:8.5/10,8.5,"19,565"
1203,Goldie,2019,TV-MA,Drama,Sam de Jong,"A teenager in a family shelter wages war against the system to keep her sisters together while she pursues her dreams of being a dancer. A story about displaced youth, ambition. and strength.",English,United States,3 nominations,"Internet Movie Database:5.8/10, Metacritic:72/100",5.8,"1,192"
1204,"Good Night, and Good Luck.",2005,PG,"Biography, Drama, History",George Clooney,Broadcast journalist Edward R. Murrow looks to bring down Senator Joseph McCarthy.,English,"United States, France, United Kingdom, Japan",Nominated for 6 Oscars. 39 wins & 129 nominations total,"Internet Movie Database:7.4/10, Rotten Tomatoes:93%, Metacritic:80/100",7.4,"99,756"
